id,player_id,competition_id,season,team_id,games_played,goals,assists,yellow_cards,red_cards,clean_sheets,sum_ratings,avg_rating,created_at,updated_at
f7932259-7ea8-46c0-a36d-af848ed7c24d,56738724-3728-42a9-9738-0b4ec9c23e12,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,12186b51-785f-48e2-bf98-5297049f5151,2,2,0,0,0,0,12.00,6.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
95a3ae4e-7812-4f53-8654-9b4f6105723a,9e516de3-cce6-4538-863c-aafd4617052a,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,bb59e55f-4963-4b32-bf38-ca3373b50e18,1,1,0,0,0,0,6.00,6.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
fdf0ef33-f04d-45ec-aad8-5fa24a84ceab,1457d78c-8def-45dd-8922-2fd70b859266,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,e1fc94b5-ade4-4e17-81e2-49026b5a2a38,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
8b9edd57-2748-4e59-b7d2-41346b070589,854daa25-0117-4de6-804d-bd8ec5f3e69f,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,e1fc94b5-ade4-4e17-81e2-49026b5a2a38,3,3,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
ce5279b6-d0b6-4876-bdad-76739d364d11,4a61b923-4840-43b6-9ea8-a0d4291b09e7,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,0035bd89-7792-4b23-bcb5-1fa96ce04999,5,5,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
201883d5-a492-4f7b-b27f-14ed460bae5a,eb57cfa4-63c3-4625-8e1e-c82d1f440567,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,77d699bb-b99d-4204-b605-2fe9b4d62196,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
cce6031b-33ff-402a-b396-2fe30b436e7c,cdfc2a67-dace-4e0d-9ce2-6899cedf6fe2,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,a33d67f9-f5ce-4f0e-8759-11e3bd705ac6,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
83f28ef8-2b65-45cc-a81a-2886362d7e37,d3cc8da7-ee7b-4652-970a-d2eb88549451,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,d1214869-a00f-4636-928e-afe7dd170a76,3,3,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
be567f25-3b28-4ec8-9419-8c8071e0c07e,2644c564-1507-485e-918d-f1d17c56af7e,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,47bddd3b-af10-40b5-ae88-3ae340f13758,4,4,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
dc3df783-e1d3-47ed-925d-69bf4173a32f,cb5c26b2-49f3-47cf-b7d7-b813bb2583fc,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,5e6795fa-b8fb-45ea-a395-cb5b37d41b63,4,4,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
255f47d4-7961-4a6a-99d0-239538372003,f6db9896-8a54-4ce9-b53e-cea5878a3874,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,3df8e77c-b4c6-4719-bdf4-e6a4006c0655,2,2,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
477f3127-e25f-4d7c-a519-2a2518e25480,1a6108f4-e857-4ee7-95c4-0dcedc10bd36,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,0035bd89-7792-4b23-bcb5-1fa96ce04999,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
e620aa0f-eb7a-42d6-8979-b7128f0f75a6,73b30217-3f44-45d6-b8a7-d24f96143dd5,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,77d699bb-b99d-4204-b605-2fe9b4d62196,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
daef82bf-78c8-4cee-807c-0c904f8be0c4,abc0e3e9-b65e-4cd2-b42d-1ff4f640dd90,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,47bddd3b-af10-40b5-ae88-3ae340f13758,2,2,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
7d753665-9856-4a97-9098-c51899c84327,f697169e-f562-4091-8255-bf5a975dd7c6,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,2026,b0eab5aa-8bf0-4787-abdf-5175f5efc4a6,1,1,0,0,0,0,0.00,0.00,2026-05-26 22:35:05.934583+00,2026-05-26 22:35:05.934583+00
