id,league_id,match_id,title,content,category,importance,created_at,image_url,template_key,metadata
c8cb91e8-0e88-468e-866f-37cfd2101d0f,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Corinthians domina e vence!,"Em um jogo de tirar o fôlego, o Corinthians mostrou superioridade. Destaque para os gols de Vitor Miranda, Bento Correia.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
bcc3203a-8cfc-4eab-9956-a90536baca52,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,O craque do jogo foi absurdo!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
847eeca8-efc7-4f0f-b8c5-151c9453ed01,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Tudo igual: FLM Team Fc 2x2 Grêmio,"Em um jogo de tirar o fôlego, o Grêmio mostrou superioridade. Destaque para os gols de Cléber Sampaio, Arthur Pires.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
55a2119c-d8db-4687-b84d-c1cf265a4d1a,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Essa vitória lava a alma!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
4eb9fd48-7358-4056-bd18-8e0f07e6aa04,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Tudo igual: FLM 2x2 ABC FC,"Em um jogo de tirar o fôlego, o ABC FC mostrou superioridade. Destaque para os gols de Ricardo Braga, Luan Andrade.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
18fe6ccf-4c14-43d8-af28-974a106eaeda,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Esse time me mata de orgulho!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
efa4ca99-5b80-400a-8de3-dd40f5a38604,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Manager FC domina e vence!,"Em um jogo de tirar o fôlego, o Manager FC mostrou superioridade. Destaque para os gols de Cléber Moreira, Cauã Martins.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
77fb8e94-dd60-4342-aab7-8a0655546745,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Precisamos de reforços pra ontem!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
cc4e51dd-cacf-4a0f-a7d4-7c6d8cd45af1,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Show de bola do Botafogo!,"Em um jogo de tirar o fôlego, o Botafogo mostrou superioridade. Destaque para os gols de Caio Nogueira, Murilo Alencar.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
06ed17f8-91d1-482f-a0b5-9fd06808d5b7,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,O craque do jogo foi absurdo!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
c973dfac-bb76-4068-b7ff-4bfd1af3ad34,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Show de bola do Corinthians!,"Em um jogo de tirar o fôlego, o Corinthians mostrou superioridade. Destaque para os gols de Raphinha Sampaio, Paulinho Vieira.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
4ca181e6-fb10-4f67-be8e-c2902fb66643,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,"Técnico pardal, mexeu mal demais.",fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
e3c6b9f3-6744-423e-85d4-8af868e0aba3,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Tudo igual: ABC FC 1x1 Internacional,"Em um jogo de tirar o fôlego, o Internacional mostrou superioridade. Destaque para os gols de Bento Moreira, André Silva.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
cc9bdaef-db03-4ebc-b510-ffc64a18561c,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Que jogo meus amigos!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
2e351804-3a23-4f37-ac7a-d44d767e8dda,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Tudo igual: Fluminense 0x0 FLM,"Em um jogo de tirar o fôlego, o FLM mostrou superioridade. Destaque para os gols de .",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
b3bb6b66-30bc-469b-a833-093a3fd1cbe9,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,O craque do jogo foi absurdo!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
94c31e4a-d5f2-4426-adae-0231f010bccb,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Show de bola do Bahia!,"Em um jogo de tirar o fôlego, o Bahia mostrou superioridade. Destaque para os gols de Ronaldo Teixeira, Matheus Silva.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
ef4012b5-4ab3-494f-a743-d31a95c23313,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,O craque do jogo foi absurdo!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
e6a8ce95-367c-439d-9333-a3eae8b08d2f,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Corinthians domina e vence!,"Em um jogo de tirar o fôlego, o Corinthians mostrou superioridade. Destaque para os gols de Bento Freitas, Gabriel Barros.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
3e2a9123-2f6d-4dbf-8e22-e9ccf24076a7,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,O craque do jogo foi absurdo!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
efe857c9-04b3-4ce8-9d3c-993f0fc043d6,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Show de bola do Botafogo!,"Em um jogo de tirar o fôlego, o Botafogo mostrou superioridade. Destaque para os gols de Luan Andrade, Daniel Borges.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
9f6cb010-6b94-4ae5-8f92-4fdc26e8a0cb,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Esse time me mata de orgulho!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
02d3e6be-9f38-421b-b1bf-a7f762298e0d,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Manager FC domina e vence!,"Em um jogo de tirar o fôlego, o Manager FC mostrou superioridade. Destaque para os gols de Lucas Moreira, Thiago Barros.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
cd7e41dc-dd51-4bd9-b0b1-f591097f42ce,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Essa vitória lava a alma!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
ed7db825-21ea-450a-90cc-011347293fc7,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Show de bola do Real Zaragola!,"Em um jogo de tirar o fôlego, o Real Zaragola mostrou superioridade. Destaque para os gols de Noah Rocha, Caio Lopes.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
02f2e783-c770-4d43-9778-bbc6b00b7d9f,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Precisamos de reforços pra ontem!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
f2304a80-8556-4c50-b5b8-bd92c5f5b085,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Tudo igual: a 2x2 Corinthians,"Em um jogo de tirar o fôlego, o Corinthians mostrou superioridade. Destaque para os gols de Allan Batista, Raul Ramos.",match_report,1,2026-05-16 01:13:40.754502+00,,,{}
d6c61fa9-ed46-4adf-a253-aadc8d83c3c3,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,,Voz da Torcida,Essa vitória lava a alma!,fan_reaction,1,2026-05-16 01:13:40.754502+00,,,{}
