id,player_id,ranking_points,seasonal_points,reputation_score,reputation_level,prev_position,current_position,position_rank,total_goals,total_assists,total_clean_sheets,avg_rating,mvp_count,last_update,penalties_saved
3f17abef-a340-4879-a58b-f6124821da25,056e3767-cdc0-4e74-9eff-59c0812fe4d7,0,0,0,Local,14385,6164,3471,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
20516c8b-d506-47df-982d-3098d63c6cf0,07af4460-50e8-4f03-9fdf-afe392daba00,0,0,0,Local,17271,6286,2951,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
08d37931-ce12-4889-8e9e-e02704a9026c,084d6793-d102-4834-b189-ddda6bafcba6,0,0,0,Local,6655,6333,1708,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
e1ffe3ac-d6c0-4b33-b6b7-0fa5acac5c19,10bdadd9-dfd8-4be7-9b2f-9e36568090ed,0,0,0,Local,13229,6806,1571,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
42b5503d-a942-46b3-8821-c7d87b3be518,3ac7830e-a9cf-467a-9689-8de853889232,31.6000000000000000,0,3,Local,1040,1263,370,1,0,0,7.6600000000000000,0,2026-05-27 18:20:30.507311+00,0
62353a8d-a2bd-4107-a200-425ddee2e867,410400b4-1d45-4197-b6ea-73eda9be9114,0,0,0,Local,18276,9483,1911,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
ae5ecd9d-9903-4a13-b3fb-3201cd71b475,4d4ffa0d-7215-4c7c-a586-1ec6361568d0,3,0,0,Local,5244,5455,861,0,1,0,0,0,2026-05-27 18:20:30.507311+00,0
f8d0fb24-c947-403f-b461-6bcd650c1db5,4ef8b821-adc0-4db1-b5bd-24c47f2ee692,26.4000000000000000,0,3,Local,1213,1608,295,0,1,0,7.6400000000000000,0,2026-05-27 18:20:30.507311+00,0
7262e128-26cf-4ef7-9e79-b8acfec0e2f2,5e1a5618-a4fa-4b79-855f-c0eddda44f6d,0,0,0,Local,10270,11083,1386,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
55669e34-898e-441a-9734-39cbbfb9f537,622bcc6e-5f00-47c9-8218-7acb63d5775d,0,0,0,Local,5342,11280,1533,0,0,0,0,0,2026-05-27 18:20:30.507311+00,0
