id,club_id,name,config,launched_at,initial_fans,initial_reputation,total_sales_count,total_revenue_cents,peak_daily_sales,hype_score,last_sales_update_at,status,payment_order_id,price_cents,total_sold,total_revenue
bcbc5204-2953-4f34-b2b8-5c705e9f1d6f,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 22:22:13.175337+00,1071,66,0,0,0,1,2026-05-24 22:22:13.175337+00,approved,,0,0,0.00
c439f523-a8a7-4cbc-bf82-78cf15cf7d78,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 22:31:22.229189+00,1071,66,0,0,0,1,2026-05-24 22:31:22.229189+00,approved,,0,0,0.00
c9c36906-8004-4504-8275-6170427b080d,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 23:05:03.826884+00,1071,66,0,0,0,100,2026-05-24 23:05:03.826884+00,pending_payment,,990,0,0.00
45a3b962-a1f3-4e26-8f0f-562bfe6eea49,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 23:05:12.048232+00,1071,66,0,0,0,100,2026-05-24 23:05:12.048232+00,pending_payment,,990,0,0.00
11e8a3c3-7a6c-4e23-a933-98e24388fd7b,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 23:56:31.877544+00,1071,66,0,0,0,100,2026-05-24 23:56:31.877544+00,pending_payment,,1,0,0.00
fa858043-b4b6-4ab7-90ff-fd0c080a48fa,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-24 23:57:46.715475+00,1071,66,0,0,0,100,2026-05-24 23:57:46.715475+00,pending_payment,,1,0,0.00
56c0ee76-d2c6-44d3-a7db-1e98675a3c53,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-25 00:03:11.143597+00,1071,66,0,0,0,100,2026-05-25 00:03:11.143597+00,pending_payment,,1,0,0.00
a629f078-8b1a-4c7c-b604-21e863b94755,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-25 00:03:27.238639+00,1071,66,0,0,0,100,2026-05-25 00:03:27.238639+00,pending_payment,,1,0,0.00
671569e8-b8de-4871-9881-136d9ceaa06a,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-25 00:03:44.580515+00,1071,66,0,0,0,100,2026-05-25 00:03:44.580515+00,pending_payment,,1,0,0.00
b1f4405d-1dd4-4f76-af02-f17b2b4d1d7f,8d46bef8-7a41-4c78-aeed-498a59e45d45,Titular,"{""name"": ""Titular"", ""shirtColor"": ""#1B5E20"", ""socksColor"": ""#2563EB"", ""collarStyle"": ""v-neck"", ""numberColor"": ""#FFFFFF"", ""shortsColor"": ""#1E3A5F"", ""sleeveStyle"": ""short"", ""shirtPattern"": ""solid"", ""sponsorTextColor"": ""#FFFFFF"", ""shirtSecondaryColor"": ""#FFD700""}",2026-05-25 00:04:28.931593+00,1071,66,0,0,0,100,2026-05-25 00:04:28.931593+00,pending_payment,,1,0,0.00
