id,name,code,owner_id,max_members,status,season,current_round,created_at,season_status,country,auto_created,league_type,season_start,season_end,total_rounds,round_interval_hours,division,tier,tier_level,season_month,season_year,match_time,division_level,prizes_paid
2f1b5505-7ab1-4664-9eea-a0206994d7b7,BR Série D,13C839,320fcbb8-c3eb-43e7-a3eb-0f302b46897f,20,waiting,1,0,2026-05-06 22:16:45.978802+00,registration,BR,t,main,,,30,24,4,nacional,4,,,16:00,1,f
b619b276-f631-491c-8d39-a57f7c1a3dbb,Brasileirão Série D,HC5EFS,e1d67411-7980-4e9a-bc9d-043a9043cb6b,16,waiting,1,16,2026-04-30 23:00:02.918455+00,in_progress,BR,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
b7e34f72-ff81-4916-a564-79b4974ab005,Tercera División,UC3T3C,fe76d88e-5232-459c-9fec-e0faf1034c01,16,waiting,1,16,2026-04-30 23:00:03.956924+00,in_progress,UY,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
b9c20fb9-cfe6-4835-98ce-e9056e407d06,Qatari Fourth Division,DT4TUY,cc1cc0d7-1c92-4f7a-9217-adf5fa2e983f,16,waiting,1,16,2026-04-30 23:00:20.888782+00,in_progress,QA,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
bd1384af-2f4d-4e28-bb37-8875ec8b192e,EG Várzea,WJNSCX,a94e6154-a72b-4d14-9d4c-eff385b10b65,16,waiting,1,16,2026-04-28 23:00:17.899506+00,in_progress,EG,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
bdcb5e8a-1663-44e7-baae-1bcd9ee20090,Liga Premier,LV981G,56cb08d0-3f9e-49d2-abb1-a06ac09a17bd,16,waiting,1,16,2026-04-30 23:00:13.003883+00,in_progress,MX,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
c736bc81-5c63-4e27-a900-334aa51f675c,Egyptian Second Division A,P70DEV,225e96a2-f7b5-4042-b391-0843a71c9737,16,waiting,1,16,2026-04-30 23:00:14.94116+00,in_progress,EG,t,main,,,30,24,2,nacional,2,4,2026,12:00,1,f
c7f453f5-0a45-4633-b967-e0f7fb07027c,PE Várzea,O8UK5Y,dee5f36c-a0c9-4942-b784-c37f317ddac1,16,waiting,1,16,2026-04-28 23:00:06.651897+00,in_progress,PE,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
c8dcfaa6-a9cc-4a64-b344-5f36383c9132,GH Várzea,99RZJX,ce5554d6-047b-41ad-8048-f508bc75a299,16,waiting,1,16,2026-04-28 23:00:21.337526+00,in_progress,GH,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
ca6155f3-38e7-4738-b2a1-5f3d35c28584,Tercera División,F2D37A,a12c2f3d-1e9b-45a4-aaaa-c1db7b00e39f,16,waiting,1,16,2026-04-30 23:00:07.090095+00,in_progress,VE,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
cca670e6-f332-4be7-8503-e028f70b5ce8,Liga de Ascenso,YKMKEB,cac5f7da-a567-4ab7-a419-6c8d4699b57c,16,waiting,1,16,2026-04-30 23:00:14.105577+00,in_progress,HN,t,main,,,30,24,2,nacional,2,4,2026,12:00,1,f
ccb95e4c-2890-4f28-8c47-abfc9f82e1ee,La Liga,46022A,74125438-d6d6-471b-9669-b06add2421de,16,waiting,1,16,2026-04-25 23:45:50.691628+00,in_progress,ES,t,main,,,30,24,1,nacional,1,4,2026,11:00,1,f
ccd8ed8c-0329-4160-a21a-6d3bbb322f89,Botola Amateur 2,8PJ1SC,11a872c7-5504-4325-b643-fe31a590ac3b,16,waiting,1,16,2026-04-30 23:00:15.540923+00,in_progress,MA,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
cddfbf08-059c-44b8-9ebb-d194b196f4c0,Liga 3,P50Q91,9b9562f5-f3c0-4fcb-83f7-e24fe55bbf6c,16,waiting,1,16,2026-04-30 23:00:10.325828+00,in_progress,PT,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
ced7102b-0955-4517-98a6-b6496048981f,UAE Third Division,G1A5WY,83f3028f-cd6a-4a9a-818a-a76c3343359d,16,waiting,1,16,2026-04-30 23:00:22.300929+00,in_progress,AE,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
d1c8afa6-d93e-4bad-8135-8138d2017029,Primera B Metropolitana,XEEEP9,4f8cdfb4-3b8d-47ff-b6a8-044d4b9a03e4,16,waiting,1,16,2026-04-30 23:00:03.408106+00,in_progress,AR,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
d279c0bd-21ec-42c2-a88e-389b7f7a6244,Segunda División,BORFUA,4e19434a-c3db-4544-bf2a-c6a3131177a2,16,waiting,1,16,2026-04-30 23:00:14.199851+00,in_progress,HN,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
d4fca163-5dc9-461d-a5eb-a2af84f1134f,HN Várzea,Y02ZC4,9939fe34-f567-4a20-8510-a40d207a2738,16,waiting,1,16,2026-04-28 23:00:16.75561+00,in_progress,HN,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
d7354467-e94c-497a-9b32-1667a876a81e,National 2,WCYFSV,2e740ce8-a9df-4e24-b6b8-346656837be7,16,waiting,1,16,2026-04-30 23:00:09.927852+00,in_progress,FR,t,main,,,30,24,4,nacional,4,4,2026,14:00,1,f
d7ab13d6-d642-4869-bd31-b1e04e99a8f2,Serie C,AU9VQO,03518736-f960-411b-899f-6614d4c3168c,16,waiting,1,16,2026-04-30 23:00:09.419877+00,in_progress,IT,t,main,,,30,24,3,nacional,3,4,2026,13:00,1,f
d9553e3d-e6bb-4f37-abfb-b645b29eb646,Premier Soccer League,P97IMG,c09aa43d-17a5-410d-9375-602573c2fefb,16,waiting,1,16,2026-04-30 23:00:17.056186+00,in_progress,ZA,t,main,,,30,24,1,nacional,1,4,2026,11:00,1,f
e3665178-33c7-43f7-bf1f-58fb653f0ba2,Ghana Premier League,PYJUFH,9869c9cf-349e-4edf-8392-7fb381504797,16,waiting,1,16,2026-04-30 23:00:17.531885+00,in_progress,GH,t,main,,,30,24,1,nacional,1,4,2026,11:00,1,f
e725e3f5-266c-4a65-9089-a209007d81cf,PA Várzea,M48YCL,666f6c73-c962-49d4-8375-959943edf190,16,waiting,1,16,2026-04-28 23:00:17.333585+00,in_progress,PA,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
e7d75f89-a1ef-43e1-bf30-544d92746b95,VE Várzea,BAHZ5O,5a1876ce-cb66-466f-8ab6-8e659da50eff,16,waiting,1,16,2026-04-28 23:00:08.33438+00,in_progress,VE,t,main,,,30,24,,varzea,1,4,2026,10:00,1,f
