id,league_id,home_team_id,away_team_id,round,status,home_goals,away_goals,scheduled_at,played_at,match_data,season_month,season_year,created_at,game_state,stadium,synced,simulated,auto_sim_at
c427d254-bb20-492f-bab8-9483cdf4fbb8,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,fae5418f-5618-4583-a774-fe4643550fd2,b0eab5aa-8bf0-4787-abdf-5175f5efc4a6,24,finished,3,0,2026-05-23 22:30:00+00,2026-05-23 22:35:01.66+00,"{""awayScorers"": [], ""homeScorers"": [{""id"": ""ca482549-c498-4604-a98c-3f90a420bbee"", ""name"": ""Rodinei Miranda""}, {""id"": ""70cbcd90-ec60-47c8-afc7-3a948762a936"", ""name"": ""Igor Freitas""}, {""id"": ""cb692a1c-9192-4177-9d81-019c394bc417"", ""name"": ""Marquinhos Xavier""}], ""auto_simulated"": true}",5,2026,2026-05-16 01:34:04.157738+00,{},,t,f,2026-05-23 22:35:00+00
90662ad3-fdb9-4d5c-9423-e9542ffa8c9d,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,47bddd3b-af10-40b5-ae88-3ae340f13758,b5b52f3a-7a6e-4cd6-9332-c2b874e3398b,999,finished,2,4,2026-05-18 21:39:56.103965+00,2026-05-18 23:02:01.086+00,"{""awayScorers"": [{""id"": ""c567a211-cbba-4106-9ab9-128a8d821308"", ""name"": ""Rafael Cardoso""}, {""id"": ""4088193c-4e25-4f4e-bbd5-0dc4e8f7518a"", ""name"": ""Fabinho Silva""}, {""id"": ""c567a211-cbba-4106-9ab9-128a8d821308"", ""name"": ""Rafael Cardoso""}, {""id"": ""3e640e99-582b-4621-a9b5-4ffc69265b69"", ""name"": ""Benício Pires""}], ""homeScorers"": [{""id"": ""d2621b67-7295-44e3-9a4f-48dd2c02661b"", ""name"": ""Luan Cavalcanti""}, {""id"": ""7c123803-c3e9-48a5-b14c-7acf3dad4ed4"", ""name"": ""Hugo Costa""}], ""auto_simulated"": true}",5,2026,2026-05-18 21:45:56.103965+00,{},,t,f,2026-05-18 21:44:56.103965+00
2fc87363-2dff-469a-9d0a-90a5f2ba4106,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,0035bd89-7792-4b23-bcb5-1fa96ce04999,e1fc94b5-ade4-4e17-81e2-49026b5a2a38,18,finished,5,1,2026-05-18 22:30:00+00,2026-05-18 23:02:03.679+00,"{""awayScorers"": [{""id"": ""854daa25-0117-4de6-804d-bd8ec5f3e69f"", ""name"": ""Igor Moura""}], ""homeScorers"": [{""id"": ""4a61b923-4840-43b6-9ea8-a0d4291b09e7"", ""name"": ""Cauã Monteiro""}, {""id"": ""2950d34b-0a04-4f3a-ba54-86cc2bb27941"", ""name"": ""Kelvin Reis""}, {""id"": ""4a61b923-4840-43b6-9ea8-a0d4291b09e7"", ""name"": ""Cauã Monteiro""}, {""id"": ""4a61b923-4840-43b6-9ea8-a0d4291b09e7"", ""name"": ""Cauã Monteiro""}, {""id"": ""1dec70ef-88ee-449d-be6a-cee7dcd0f86d"", ""name"": ""Eduardo Vieira""}], ""auto_simulated"": true}",5,2026,2026-05-16 01:34:04.157738+00,{},,t,f,2026-05-18 22:35:00+00
31091547-4998-4daa-b2a2-686d7166a270,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,5e6795fa-b8fb-45ea-a395-cb5b37d41b63,77d699bb-b99d-4204-b605-2fe9b4d62196,21,finished,2,3,2026-05-21 22:30:00+00,2026-05-21 22:35:01.294+00,"{""awayScorers"": [{""id"": ""c599abeb-644a-4137-8579-5014411bcf1a"", ""name"": ""Paulinho Moura""}, {""id"": ""2d59b4fe-0721-426f-9965-5270bb70c49d"", ""name"": ""Murilo Guimarães""}, {""id"": ""e7dd9c19-699b-4ff4-8e62-304fcb416195"", ""name"": ""Arthur Ribeiro""}], ""homeScorers"": [{""id"": ""ed9fe308-98c1-4ff9-998c-ecb628428ba5"", ""name"": ""Caio Vasconcelos""}, {""id"": ""e2897be8-a44b-42ed-a260-64b6939627e8"", ""name"": ""Bernardo Farias""}], ""auto_simulated"": true}",5,2026,2026-05-16 01:34:04.157738+00,{},,t,f,2026-05-21 22:35:00+00
6ac2da18-ccfd-43d7-a7b3-911a77bceb14,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,e0e4ca78-504f-497c-8096-ff4d4e9ee041,b0eab5aa-8bf0-4787-abdf-5175f5efc4a6,17,finished,2,3,2026-05-16 22:30:00+00,2026-05-18 01:17:00.698+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
83f7ea05-21ea-4e5a-b7c7-5ff00e8597fa,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,fae5418f-5618-4583-a774-fe4643550fd2,77d699bb-b99d-4204-b605-2fe9b4d62196,17,finished,3,3,2026-05-16 22:30:00+00,2026-05-18 01:17:00.698+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
decd4ffd-b6e4-4671-a029-74aec71343ef,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,b5b52f3a-7a6e-4cd6-9332-c2b874e3398b,3df8e77c-b4c6-4719-bdf4-e6a4006c0655,17,finished,2,1,2026-05-16 22:30:00+00,2026-05-18 01:17:00.698+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
b75380e8-753f-47f2-938e-80122f34a623,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,a33d67f9-f5ce-4f0e-8759-11e3bd705ac6,d1214869-a00f-4636-928e-afe7dd170a76,1,finished,0,1,2026-04-30 22:30:00+00,2026-04-30 22:30:00+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
eda4163e-cf11-4a56-8b6a-70a0ea7d6eaa,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,d1214869-a00f-4636-928e-afe7dd170a76,a33d67f9-f5ce-4f0e-8759-11e3bd705ac6,16,finished,3,2,2026-05-15 22:30:00+00,2026-05-15 22:30:00+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
eff094fc-3f09-4279-9094-c746d4d7f167,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,e1fc94b5-ade4-4e17-81e2-49026b5a2a38,bb59e55f-4963-4b32-bf38-ca3373b50e18,1,finished,1,1,2026-04-30 22:30:00+00,2026-04-30 22:30:00+00,,5,2026,2026-05-16 01:34:04.157738+00,{},,f,f,
