id,team_id,name,position,overall,age,created_at,injury_type,injury_severity,injury_weeks_remaining,injury_body_part,injury_is_relapse,squad_status,market_value,potential,market_value_history,evolution_trend,reputation,salary,attributes,stamina,morale,last_stamina_recovery,nationality,stamina_max,resistance
e2b32743-9125-4c4e-b8ba-5a962f906bd7,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Davi Luiz Nascimento,GOL,56,29,2026-05-27 14:38:06.253321+00,,,0,,f,starter,340200,58,[],stable,50,560,"{""speed"": 46, ""vision"": 44, ""heading"": 55, ""marking"": 49, ""passing"": 47, ""crossing"": 34, ""physical"": 48, ""shooting"": 35, ""workRate"": 42, ""composure"": 60, ""defending"": 56, ""dribbling"": 33, ""longShots"": 29, ""setPieces"": 34, ""aggression"": 50, ""goalkeeping"": 69, ""positioning"": 55}",100,78,2026-05-27 14:38:06.253321+00,Bélgica,100,94
45a66cdc-abaf-4702-b88a-7835ab081e80,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Levi Sampaio,GOL,47,17,2026-05-27 14:38:06.253321+00,,,0,,f,reserve,951750,72,[],stable,50,670,"{""speed"": 42, ""vision"": 42, ""heading"": 40, ""marking"": 52, ""passing"": 35, ""crossing"": 26, ""physical"": 40, ""shooting"": 28, ""workRate"": 42, ""composure"": 44, ""defending"": 47, ""dribbling"": 37, ""longShots"": 19, ""setPieces"": 31, ""aggression"": 42, ""goalkeeping"": 54, ""positioning"": 52}",100,88,2026-05-27 14:38:06.253321+00,Sérvia,100,66
5fadb015-a15e-47b4-a5b6-a09df5303ce4,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Fabrício Lopes,ZAG,50,26,2026-05-27 14:38:06.253321+00,,,0,,f,bench,405000,57,[],stable,50,500,"{""speed"": 43, ""vision"": 40, ""heading"": 55, ""marking"": 53, ""passing"": 42, ""crossing"": 43, ""physical"": 50, ""shooting"": 35, ""workRate"": 45, ""composure"": 56, ""defending"": 53, ""dribbling"": 32, ""longShots"": 45, ""setPieces"": 32, ""aggression"": 51, ""goalkeeping"": 9, ""positioning"": 60}",100,83,2026-05-27 14:38:06.253321+00,Coreia do Sul,100,74
77114496-0689-4151-8003-07999347c103,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Noah Guimarães,ZAG,50,30,2026-05-27 14:38:06.253321+00,,,0,,f,bench,303750,55,[],stable,50,500,"{""speed"": 47, ""vision"": 47, ""heading"": 54, ""marking"": 50, ""passing"": 46, ""crossing"": 34, ""physical"": 56, ""shooting"": 39, ""workRate"": 42, ""composure"": 43, ""defending"": 54, ""dribbling"": 32, ""longShots"": 35, ""setPieces"": 44, ""aggression"": 58, ""goalkeeping"": 9, ""positioning"": 52}",100,82,2026-05-27 14:38:06.253321+00,Colômbia,100,86
94d80f8d-f069-4c78-8f41-9a7c08bc87c8,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Ruan Alencar,ZAG,55,18,2026-05-27 14:38:06.253321+00,,,0,,f,starter,957825,73,[],stable,50,750,"{""speed"": 54, ""vision"": 48, ""heading"": 62, ""marking"": 59, ""passing"": 49, ""crossing"": 44, ""physical"": 50, ""shooting"": 45, ""workRate"": 51, ""composure"": 50, ""defending"": 60, ""dribbling"": 44, ""longShots"": 50, ""setPieces"": 37, ""aggression"": 63, ""goalkeeping"": 2, ""positioning"": 59}",100,71,2026-05-27 14:38:06.253321+00,Chile,100,88
7812fe12-90d5-4002-bfce-050ebc8fa28d,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Gael Nascimento,LAT,56,30,2026-05-27 14:38:06.253321+00,,,0,,f,starter,340200,63,[],stable,50,560,"{""speed"": 59, ""vision"": 64, ""heading"": 54, ""marking"": 55, ""passing"": 65, ""crossing"": 57, ""physical"": 57, ""shooting"": 45, ""workRate"": 67, ""composure"": 58, ""defending"": 47, ""dribbling"": 51, ""longShots"": 54, ""setPieces"": 59, ""aggression"": 49, ""goalkeeping"": 7, ""positioning"": 49}",100,86,2026-05-27 14:38:06.253321+00,Chile,100,97
08dfca1f-26a5-4153-91ac-2e3469d10a4b,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Wesley Azevedo,LAT,51,21,2026-05-27 14:38:06.253321+00,,,0,,f,reserve,1136025,81,[],stable,50,710,"{""speed"": 52, ""vision"": 57, ""heading"": 49, ""marking"": 54, ""passing"": 54, ""crossing"": 51, ""physical"": 52, ""shooting"": 40, ""workRate"": 59, ""composure"": 43, ""defending"": 52, ""dribbling"": 50, ""longShots"": 36, ""setPieces"": 48, ""aggression"": 58, ""goalkeeping"": 12, ""positioning"": 44}",100,65,2026-05-27 14:38:06.253321+00,Espanha,100,86
4b4f6db7-5097-44d3-a46b-52d8e7b60ee6,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Raul Gomes,LAT,52,24,2026-05-27 14:38:06.253321+00,,,0,,f,bench,555984,60,[],stable,50,520,"{""speed"": 49, ""vision"": 48, ""heading"": 39, ""marking"": 53, ""passing"": 47, ""crossing"": 56, ""physical"": 58, ""shooting"": 52, ""workRate"": 49, ""composure"": 53, ""defending"": 47, ""dribbling"": 60, ""longShots"": 54, ""setPieces"": 54, ""aggression"": 46, ""goalkeeping"": 9, ""positioning"": 53}",100,89,2026-05-27 14:38:06.253321+00,Sérvia,100,76
af09ca97-08b8-40b5-b1d2-09f9db181bc5,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Robinho Dias,LAT,51,21,2026-05-27 14:38:06.253321+00,,,0,,f,reserve,846855,67,[],stable,50,710,"{""speed"": 60, ""vision"": 52, ""heading"": 47, ""marking"": 49, ""passing"": 54, ""crossing"": 61, ""physical"": 55, ""shooting"": 40, ""workRate"": 49, ""composure"": 47, ""defending"": 41, ""dribbling"": 51, ""longShots"": 39, ""setPieces"": 45, ""aggression"": 49, ""goalkeeping"": 3, ""positioning"": 47}",100,85,2026-05-27 14:38:06.253321+00,França,100,76
da5da6ab-92ef-404d-bf06-087d9bed8665,e0e4ca78-504f-497c-8096-ff4d4e9ee041,Adriano Ribeiro,VOL,58,25,2026-05-27 14:38:06.253321+00,,,0,,f,starter,469800,60,[],stable,50,580,"{""speed"": 49, ""vision"": 62, ""heading"": 57, ""marking"": 57, ""passing"": 56, ""crossing"": 57, ""physical"": 65, ""shooting"": 56, ""workRate"": 52, ""composure"": 56, ""defending"": 64, ""dribbling"": 51, ""longShots"": 57, ""setPieces"": 50, ""aggression"": 64, ""goalkeeping"": 10, ""positioning"": 57}",100,76,2026-05-27 14:38:06.253321+00,Coreia do Sul,100,83
