id,league_id,name,level,match_time,created_at
1764851e-2c02-4bc4-891d-327e3bf1987b,b1e892fc-1a8a-4701-b2b0-33f3b2a864b2,Série A,1,19:30:00,2026-05-06 21:28:09.072579+00
fea83138-c2d0-4f29-b024-e8201621b46b,b1e892fc-1a8a-4701-b2b0-33f3b2a864b2,Série B,2,18:30:00,2026-05-06 21:28:09.072579+00
8374b5f8-17cb-48ea-8aeb-2c160e1aba51,b1e892fc-1a8a-4701-b2b0-33f3b2a864b2,Série C,3,17:30:00,2026-05-06 21:28:09.072579+00
541b0362-b553-488e-bbf8-7ee8821298c2,b1e892fc-1a8a-4701-b2b0-33f3b2a864b2,Série D,4,16:30:00,2026-05-06 21:28:09.072579+00
6448adfd-cdb2-40c6-8dd9-bd9cf5becf67,57895047-7748-4d09-bc67-39f14d9c66eb,LaLiga,1,19:30:00,2026-05-06 21:28:09.072579+00
779c8e7e-c517-4cb1-8e4f-5f6b0babe05c,57895047-7748-4d09-bc67-39f14d9c66eb,LaLiga 2,2,18:30:00,2026-05-06 21:28:09.072579+00
b4410fc6-e4a9-4b66-8d3e-ad889cb6135e,916f7f45-697d-4ffa-8556-de190551773a,Premier League,1,19:30:00,2026-05-06 21:28:09.072579+00
664260f9-6273-4eeb-8450-8e890176f5d9,916f7f45-697d-4ffa-8556-de190551773a,Championship,2,18:30:00,2026-05-06 21:28:09.072579+00
bf18c1c8-227d-42a4-a030-7cffa197272e,58a76d45-0544-4d89-8ce0-d07464668cab,Serie A,1,19:30:00,2026-05-06 21:28:09.072579+00
d2e5e875-06f2-4a8e-8c6a-4cdda88c1708,58a76d45-0544-4d89-8ce0-d07464668cab,Serie B,2,18:30:00,2026-05-06 21:28:09.072579+00
db45bba2-6b11-4d4b-8f45-49a894737bed,b3047bac-d93e-4366-af25-4048d32aa464,Bundesliga,1,19:30:00,2026-05-06 21:28:09.072579+00
f765490b-cf1f-4444-94c7-7ebdc5d869d5,b3047bac-d93e-4366-af25-4048d32aa464,2. Bundesliga,2,18:30:00,2026-05-06 21:28:09.072579+00
8feb5c9f-d6b1-436b-91b5-718655c9e652,1906de8a-5590-4970-800a-53f353373623,Ligue 1,1,19:30:00,2026-05-06 21:28:09.072579+00
53438958-fd6d-49d9-b579-384138b86216,1906de8a-5590-4970-800a-53f353373623,Ligue 2,2,18:30:00,2026-05-06 21:28:09.072579+00
14af6932-9941-440e-a812-928673e43d0c,72b4c237-677e-49b6-8fd6-2aa54d7bdb55,Liga Portugal,1,19:30:00,2026-05-06 21:28:09.072579+00
954f33ea-13c6-4f2a-9843-8bef6247fd16,72b4c237-677e-49b6-8fd6-2aa54d7bdb55,Liga 2,2,18:30:00,2026-05-06 21:28:09.072579+00
b1f61572-1a1a-4ba6-903f-2594b5f7818b,c085af1d-f9ed-42ae-a1d0-33c3029b820f,Liga Profesional,1,19:30:00,2026-05-06 21:28:09.072579+00
