id,user_id,league_id,name,logo,is_bot,strength,created_at,updated_at,country
47bddd3b-af10-40b5-ae88-3ae340f13758,e60b679b-7e44-484c-a91c-7b7c1ceba32e,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,MANAGER FC,"",f,66,2026-05-06 22:09:41.932284+00,2026-05-18 00:40:20.726862+00,Brasil
c76f139d-344d-4254-9516-933e540cbb2c,fa156d76-dbb9-473c-8a51-a059f6741bd8,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,Time inicial teste,"",f,69,2026-05-06 22:09:41.932284+00,2026-05-26 00:41:37.205355+00,Brasil
22f56f5e-c665-453e-9a39-3e8443b90780,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,60,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
67034e92-def7-407e-b914-d33f65078fd9,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,66,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
6813515c-9dbe-4199-ab18-d79bbc1373a5,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,50,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
c33d8f52-d465-4541-b507-821be1c73a8b,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,78,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
e9282584-632a-493a-b792-a3bb3989137d,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,68,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
65e3284e-812e-4f98-8ea3-66632d6120fe,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,50,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
538d8f7a-4207-4035-bdad-a944ec433f83,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,70,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
9640ce04-fa37-4a8a-9399-2c9c4ddf8383,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,65,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
5898682f-3f10-470c-b2dd-3139c4a5945c,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,67,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
9fb014a9-2259-45a6-afa4-04a301741ab9,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Flamengo,,t,54,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
ced75594-8106-4f32-a323-2ec8c283fd7f,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,76,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
e1c97321-c2ec-4b1b-8852-6c238147007e,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,57,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
7770ea99-e76b-4ded-9eb0-c02257472aae,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,60,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
2fc248ea-f712-4538-ad21-b60346e6bbe8,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,65,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
3142975b-2d1d-4dbd-9717-b54ec6881fee,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,75,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
7858c6c7-b652-4b23-bfdb-caef3303bd4e,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,54,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
c75283cd-1c8b-450a-a93c-e4aeda2fdc22,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,65,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
a1af0205-c082-4f9e-8a8a-ba3dc6acd46a,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,70,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
a7ab8c7e-460c-438c-9958-17392c1c57d3,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,74,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
4a862006-d528-480c-b74b-32c350d3fadd,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,Palmeiras,,t,61,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
66e84322-a789-400e-861f-66575797eb5f,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,São Paulo,,t,57,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
fcf25e9f-d0af-4eb0-9edd-01b4dc729034,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,São Paulo,,t,70,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
71bc5ee3-ea86-458a-9fd5-1678a0a40361,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,São Paulo,,t,57,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
3d54656f-24c8-45de-a4cb-601e66884389,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,São Paulo,,t,65,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
7ef65de8-1ee9-4294-aa99-9ab2d218a2dd,,bfb3dd23-0355-4393-a36d-a6fbe4b1859f,São Paulo,,t,76,2026-05-11 03:29:18.471288+00,2026-05-11 03:29:18.471288+00,Argentina
