id,code,category,subcategory,outcome,base_weight,min_minute,max_minute,requires_context,narration_templates,headline_templates,stats_impact,enabled,created_at
8a4853b6-fe28-401d-b2e1-eb4d65d76da3,attack.counter,attack,counter,chance,1.2,0,120,{},"{""{minute}' Contra-ataque fulminante! {player} dispara em velocidade."",""{minute}' {team} sai jogando rápido, {player} lidera o contragolpe."",""{minute}' Roubada e saída em velocidade: {player} avança pelo meio.""}","{""{team} explora contra-ataques e domina a partida""}","{""shots"": 1}",t,2026-05-26 01:03:05.371098+00
b508e666-6a74-4dcd-9584-a8dc18da6ff9,attack.counter_goal,attack,counter,goal,0.35,0,120,{},"{""GOOOL! {minute}' Contra-ataque mortal finalizado por {player}!"",""{minute}' Contra-ataque modelo: {assist} lança, {player} marca!"",""{minute}' Que ataque rápido! {player} balança as redes!""}","{""Contra-ataque decide: {team} vence com {player} em destaque""}","{""shots"": 1, ""shots_on"": 1}",t,2026-05-26 01:03:05.371098+00
4ee53b0d-ad1e-4a01-b76a-769418dd76e3,attack.tiki_taka,attack,tiki_taka,chance,1.0,0,120,{},"{""{minute}' Troca rápida de passes do {team}, bola corre no chão."",""{minute}' Tabelinha bonita entre {player} e {assist}!"",""{minute}' {team} faz dez, doze toques antes de finalizar.""}","{""{team} dá aula de toque de bola""}","{""possession"": 1}",t,2026-05-26 01:03:05.371098+00
2bb8ca41-8e56-4629-a21b-1de88c0b25ac,attack.tiki_taka_goal,attack,tiki_taka,goal,0.25,10,120,{},"{""GOOOL! {minute}' Jogada ensaiada! {assist} cruza rasteiro e {player} empurra!"",""{minute}' Troca rápida termina em gol: {player} marca para o {team}!""}","{""{team} bordando o gramado: {player} fecha jogada coletiva""}","{""shots"": 1, ""shots_on"": 1}",t,2026-05-26 01:03:05.371098+00
57c0f336-abda-4f68-8d5b-a719dad4a70c,attack.cross,attack,cross,chance,1.1,0,120,{},"{""{minute}' Cruzamento perigoso na área!"",""{minute}' {player} cruza com perigo pela direita."",""{minute}' Bola levantada na área, defesa afasta com dificuldade.""}",{},"{""shots"": 1}",t,2026-05-26 01:03:05.371098+00
9240c88d-8e73-4c4a-8e42-88476eb33df7,attack.cross_goal,attack,cross,goal,0.30,0,120,{},"{""GOOOL DE CABEÇA! {minute}' {assist} cruza e {player} desvia para o gol!"",""{minute}' Bola alçada na área, {player} aparece para marcar!""}","{""{team} aproveita o jogo aéreo e leva a melhor""}","{""shots"": 1, ""shots_on"": 1}",t,2026-05-26 01:03:05.371098+00
137b1b8d-5f21-4df5-b62b-972af841443b,attack.long_shot,attack,long_shot,shot_off,0.9,0,120,{},"{""{minute}' {player} arrisca de fora da área, bola passa rente."",""{minute}' Chute de longe de {player}, vai por cima do gol."",""{minute}' De fora, {player} bate firme — a bola sobe demais.""}",{},"{""shots"": 1}",t,2026-05-26 01:03:05.371098+00
b3d1e712-4182-4e06-aefb-ce9ae9f15cef,attack.long_shot_on,attack,long_shot,shot_on,0.6,0,120,{},"{""{minute}' Chute violento de {player}, {gk} encaixa!"",""{minute}' Bomba de fora da área, defesa do goleiro!""}",{},"{""shots"": 1, ""shots_on"": 1}",t,2026-05-26 01:03:05.371098+00
51ddd85a-aeaf-42e4-a445-736deaaba116,attack.long_shot_goal,attack,long_shot,goal,0.18,0,120,{},"{""GOLAÇO! {minute}' {player} acerta um foguete de fora da área!"",""{minute}' Que pintura! {player} marca de longe sem chance pro goleiro!""}","{""Golaço de {player} ilumina partida do {team}""}","{""shots"": 1, ""shots_on"": 1}",t,2026-05-26 01:03:05.371098+00
e71d1722-ac41-4a06-a491-8e0e2fd14199,attack.dribble,attack,dribble,chance,0.9,0,120,{},"{""{minute}' {player} parte para cima do marcador, drible desconcertante!"",""{minute}' Que jogada individual de {player}! Passa por dois."",""{minute}' Drible curto de {player}, abre espaço.""}",{},{},t,2026-05-26 01:03:05.371098+00
